,"t, hr","md, ft",prom_wob,prom_rpm,prom_q,prom_tq,p_ma_psi,rop_pph
527,1.0,8249,18.0,40.0,650.0,8.5,2900,24.0
528,19.0,8608,21.0,75.0,800.0,18.0,3800,18.9
529,3.5,8640,17.5,80.0,780.0,15.0,3800,9.14
530,9.0,9078,18.0,70.0,450.0,18.5,2350,48.7
531,8.0,6347,17.5,72.5,875.0,8.0,3400,99.6
532,8.0,6347,9.0,0.0,850.0,0.0,2800,99.6
533,10.0,6633,12.0,40.0,600.0,5.0,1900,28.5
534,0.5,6650,17.0,40.0,600.0,5.5,1900,36.0
535,5.0,7000,21.0,80.0,900.0,11.0,3700,70.0
536,7.0,7375,26.0,80.0,900.0,11.0,3900,53.6
537,17.0,7805,14.0,40.0,600.0,6.0,2200,25.3
538,9.5,8021,17.5,40.0,600.0,6.0,2200,22.7
539,1.5,8068,26.0,80.0,840.0,9.0,3900,31.3
540,0.5,8084,2.0,90.0,790.0,5.0,3850,32.0
541,5.5,8706,10.0,90.0,785.0,12.5,3900,113.0
542,3.5,4290,27.0,75.0,750.0,10.0,3550,73.0
543,11.0,5503,15.0,80.0,870.0,7.5,3900,77.0
544,8.5,6530,28.0,80.0,875.0,11.0,3800,121.0
545,7.0,6760,27.0,42.5,500.0,10.0,1700,33.0
546,3.0,6875,8.0,80.0,850.0,10.0,3900,22.0
547,1.0,6920,8.0,80.0,850.0,10.0,3900,45.0
548,11.5,7345,24.5,80.0,790.0,15.0,3900,17.0
549,11.5,7345,29.0,0.0,800.0,0.0,3600,17.0
550,5.5,7411,31.0,80.0,800.0,10.0,3900,12.0
551,5.5,7411,23.5,0.0,800.0,0.0,3650,12.0
552,5.0,7510,34.0,80.0,770.0,10.5,3900,17.0
553,2.0,7623,11.0,80.0,760.0,10.0,3900,57.0
554,17.5,7930,10.0,45.0,525.0,11.0,2100,18.0
555,10.5,8010,10.0,40.0,500.0,15.0,2000,8.0
556,11.5,8203,30.0,55.0,750.0,10.0,3850,17.0
557,11.5,8203,13.5,0.0,750.0,0.0,3800,17.0
558,10.0,4700,7.0,70.0,900.0,5.5,3550,69.0
559,10.0,4700,10.0,0.0,900.0,0.0,3600,69.0
560,8.5,5513,17.0,70.0,830.0,11.5,3800,96.0
561,8.5,5513,10.0,0.0,830.0,0.0,3550,96.0
562,5.5,6060,19.0,80.0,850.0,12.0,3700,100.0
563,5.5,6060,14.0,0.0,850.0,0.0,3400,100.0
564,6.0,6590,21.0,80.0,835.0,12.0,3900,88.0
565,6.0,6590,11.0,0.0,850.0,0.0,3550,88.0
566,8.5,6828,13.0,40.0,550.0,13.0,2200,28.0
567,9.5,7121,23.0,80.0,800.0,16.0,3950,31.0
568,9.5,7121,11.0,0.0,800.0,0.0,3800,31.0
569,22.5,7670,26.0,80.0,780.0,15.0,3900,24.0
570,22.5,7670,20.0,0.0,780.0,0.0,3800,24.0
571,1.5,7700,31.0,40.0,550.0,13.0,2450,21.0
572,6.0,7852,31.0,40.0,550.0,13.0,2450,25.0
573,16.0,8250,24.0,60.0,750.0,16.5,3900,25.0
574,16.0,8250,28.0,0.0,750.0,0.0,3800,25.0
575,2.0,8272,33.0,60.0,730.0,16.5,3800,11.0
576,1.5,4941,22.5,80.0,850.0,8.5,2900,98.0
577,1.5,4941,12.5,0.0,750.0,0.0,2350,98.0
578,4.5,5250,22.5,80.0,850.0,8.5,3450,69.0
579,4.5,5250,12.5,0.0,750.0,0.0,2700,69.0
580,1.5,5352,22.5,70.0,860.0,18.0,3650,68.0
581,1.5,5352,8.0,0.0,860.0,0.0,3200,68.0
582,1.0,3435,22.5,70.0,860.0,18.0,3650,83.0
583,1.0,3435,8.0,0.0,860.0,0.0,3200,83.0
584,5.5,6014,22.5,70.0,860.0,18.0,3650,105.0
585,5.5,6014,8.0,0.0,860.0,0.0,3200,105.0
586,4.5,6520,22.5,80.0,850.0,18.0,3000,76.0
587,4.5,6520,10.0,0.0,850.0,0.0,3050,76.0
588,7.0,7094,22.5,65.0,845.0,14.0,3550,82.0
589,7.0,7094,11.0,0.0,850.0,0.0,3550,82.0
590,10.0,7380,13.0,40.0,550.0,13.0,2000,28.6
591,7.0,7680,17.5,70.0,850.0,17.0,3800,43.0
592,22.0,8240,27.5,65.0,820.0,20.0,3900,25.5
593,22.0,8240,25.0,0.0,775.0,0.0,3600,25.5
594,2.0,8290,27.5,40.0,550.0,21.5,2300,25.0
595,9.0,8466,33.0,40.0,550.0,23.0,2300,19.6
596,4.5,8599,25.0,65.0,750.0,19.0,3800,29.5
597,4.5,8599,28.0,0.0,750.0,0.0,3700,29.5
598,8.0,8770,22.5,65.0,750.0,21.5,3700,21.4
599,8.0,8770,28.0,0.0,740.0,0.0,3700,21.4
600,16.5,8994,27.5,65.0,762.5,23.0,3850,13.6
601,16.5,8994,27.5,0.0,752.5,0.0,3750,13.6
602,21.0,6560,17.0,55.0,765.0,14.5,3800,44.4
603,21.0,6560,11.0,0.0,850.0,0.0,3250,44.4
604,2.0,6587,14.0,0.0,800.0,0.0,3550,13.5
605,13.0,7505,26.0,70.0,800.0,12.0,3850,54.6
606,3.0,7600,31.0,40.0,500.0,15.5,2000,31.6
607,6.0,7762,17.0,40.0,520.0,15.5,2400,24.0
608,10.0,8055,29.0,60.0,735.0,13.0,3800,29.0
609,10.0,8055,4.5,0.0,700.0,0.0,3400,29.0
610,10.5,8181,41.5,60.0,755.0,13.0,3800,13.0
611,4.0,8245,17.0,60.0,725.0,14.5,3800,16.0
612,4.0,8245,12.5,0.0,700.0,0.0,3400,16.0
613,6.0,8304,17.0,60.0,725.0,14.5,3800,10.0
614,6.0,8304,12.5,0.0,700.0,0.0,3400,10.0
615,12.5,8961,18.5,70.0,690.0,19.0,3800,55.0
616,12.5,8961,17.0,0.0,700.0,0.0,3800,55.0
617,8.5,9546,8.0,40.0,360.0,19.0,2450,68.0
618,1.0,4100,10.0,50.0,600.0,14.5,1850,92.0
619,10.0,5329,17.0,70.0,810.0,15.5,3700,123.0
620,10.0,5329,15.0,0.0,900.0,0.0,3250,123.0
621,7.0,5766,18.0,70.0,800.0,15.5,3950,63.0
622,7.0,5766,15.0,0.0,870.0,0.0,3650,63.0
623,12.5,6669,17.0,60.0,860.0,14.5,3500,72.24
624,12.5,6669,15.0,0.0,860.0,0.0,3300,72.24
625,4.5,6805,12.0,40.0,500.0,9.0,1700,30.0
626,4.0,6925,12.0,40.0,500.0,9.0,1700,30.0
627,20.0,7610,25.0,65.0,840.0,15.0,3950,34.0
